SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - Large Msawha (صحن مشوشة كبير) | 3.35
    - Clay Pot Msawha (صحن مشوشة فخار) | 2.20
    - Large Hommos (صحن حمص كبير) | 3.35
    - Clay Pot Hommos (صحن حمص فخار) | 2.20
    - Large Balila (صحن بليلة كبير) | 3.35
    - Clay Pot Balila (صحن بليلة فخار) | 2.20
    - Large Fatteh Bowl (جاط فتة كبير) | 7.20
    - Small Fatteh Bowl (جاط فتة صغير) | 5.00
    - Half Dozen Falafel (نص دزينة فلافل) | 2.80
    - Dozen Falafel (دزينة فلافل) | 5.55
    - Labneh Plate with sides (صحن لبنة مع سرفيس) | 2.80
    - Cheese Plate with sides (صحن جبنة مع سرفيس) | 2.80
    - Eggs Plate with sides (صحن بيض مع سرفيس) | 2.80
    - Sojok Plate with sides (صحن سجق مع سرفيس) | 5.00
    - Awarma Plate with sides (صحن قورما مع سرفيس) | 5.00
    - Large Hommos with Meat (حمص مع لحمة كبير) | 7.20
    - Large Hommos with Awarma (حمص مع قورما كبير) | 7.80

RESTAURANT: Spuntino

RESTAURANT: Linguine Menu
  CATEGORY: المفرزات / The Doner
  CATEGORY: الدونر / Lebanese Shawarma
  CATEGORY: الشاورما اللبناني / Markouk
  CATEGORY: المرقوق / Tortilla
  CATEGORY: التورتيا / Plates (Al Sahoun)
  CATEGORY: الصحون / Burgers
  CATEGORY: البرغر / Potatoes
  CATEGORY: البطاطا / Appetizers
  CATEGORY: المقبلات / Salads
  CATEGORY: السلطات / Kids
  CATEGORY: للأطفال / Desserts
  CATEGORY: الحلويات / Beverages & Shisha
  CATEGORY: المشروبات و الأركيلة / Sandwiches
  CATEGORY: الساندويشات / Seafood
  CATEGORY: مأكولات بحرية / Tenders
  CATEGORY: تندرز / Chicken Combos
  CATEGORY: كومبو الدجاج / Mixed Combo Meals
  CATEGORY: وجبات كومبو المختلطة / Family Meals
  CATEGORY: وجبات عائلية / Signature Sides
  CATEGORY: طلبات جانبية مميزة / Popeyes Kids

RESTAURANT: SEEK
    - Roast Beef | 6.67
    - Beef Tongue | 6.67
    - Nkhaat | 6.67
    - Sujuk | 5.00
    - Makanek | 5.00
    - Chicken Liver | 3.89
    - Sanesel | 6.67
    - Philadelphia | 5.56
    - Beef Shawarma | 5.00
    - Francisco | 5.00
    - Tawook | 5.00
    - Fajita | 5.00
    - Chicken Shawarma | 3.89
    - Crispy | 3.33
    - Escalope | 3.33
    - Chinese Chicken | 5.56
    - Chicken Sub | 5.00
    - Carioti | 5.56
    - Shrimp | 5.56
    - Shrimp With Crab | 6.67
    - Tuna | 3.89
    - Special Seek | 8.89
    - Lebanese Beef | 4.44
    - Beef Cheese | 5.00
    - Chicken | 4.44
    - Mushroom | 6.67
    - Chicken | 5.56
    - Shrimp | 6.67
    - Fries | 2.22
    - Fries Plate (Medium) | 3.89
    - Mozzarella Stick (4 pieces) | 3.89
    - Tuna | 5.56
    - Crab | 5.56
    - Caesar | 5.56
    - Lebanese Beef Burger | 7.78
    - Chicken Burger | 6.67
    - Beef Shawarma | 8.89
    - Chicken Shawarma | 7.78
    - Crispy | 7.78
    - Escalope | 7.78
    - Small Water | 0.56
